PIT,BENCH,PRIORITY,TOTAL,WASTE,ORE ,GRADE1 ,GRADE2 ,GRADE3 ,GRADE4 ,FLAG1 ,FLAG2 ,FLAG3 ,FLAG4
 1 ,  576 ,  1000 ,  0.078944 ,  0.07609 ,  0.002854 ,  56 ,  7.67 ,  1.97 ,  44 ,  1 ,  0 ,  1 ,  0 
 1 ,  564 ,  1000 ,  0.047622 ,  0.03467 ,  0.012952 ,  59.4 ,  5.52 ,  1.93 ,  40.6 ,  1 ,  0 ,  1 ,  0 
 1 ,  552 ,  1000 ,  0.045763 ,  0.008751 ,  0.037012 ,  60.5 ,  4.71 ,  2.22 ,  39.5 ,  1 ,  0 ,  1 ,  0 
 1 ,  540 ,  1000 ,  0.011906 ,  0.010848 ,  0.001058 ,  59.81 ,  4.74 ,  1.69 ,  40.19 ,  1 ,  0 ,  1 ,  0 
 1 ,  528 ,  1000 ,  0.074544 ,  0.074393 ,  0.000151 ,  57.23 ,  5.47 ,  2.48 ,  42.77 ,  1 ,  0 ,  1 ,  0 
 2 ,  564 ,  13.4319834023181 ,  0.677444 ,  0.51915 ,  0.158294 ,  57.48 ,  6.92 ,  2.04 ,  42.52 ,  0 ,  1 ,  1 ,  0 
 2 ,  552 ,  17.3843291115788 ,  1.446476 ,  1.01892 ,  0.427556 ,  58.81 ,  5.79 ,  2.3 ,  41.19 ,  0 ,  1 ,  1 ,  0 
 2 ,  540 ,  20.2702832922079 ,  2.640295 ,  1.728438 ,  0.911857 ,  58.69 ,  5.62 ,  2.21 ,  41.31 ,  0 ,  1 ,  1 ,  0 
 2 ,  528 ,  15.2559645261757 ,  4.565479 ,  3.380818 ,  1.184661 ,  58.79 ,  5.25 ,  2.18 ,  41.21 ,  0 ,  1 ,  1 ,  0 
 2 ,  516 ,  9.76122818806858 ,  7.921536 ,  6.616184 ,  1.305352 ,  59.23 ,  4.89 ,  2.07 ,  40.77 ,  0 ,  1 ,  1 ,  0 
 2 ,  504 ,  8.58728091253251 ,  9.127083 ,  7.80665 ,  1.320433 ,  59.35 ,  4.73 ,  2.18 ,  40.65 ,  0 ,  1 ,  1 ,  0 
 2 ,  492 ,  9.62228730324511 ,  8.363515 ,  7.004721 ,  1.358794 ,  59.22 ,  4.57 ,  2.04 ,  40.78 ,  0 ,  1 ,  1 ,  0 
 2 ,  480 ,  10.4064810336806 ,  7.621774 ,  6.285719 ,  1.336055 ,  59.36 ,  4.25 ,  1.97 ,  40.64 ,  0 ,  1 ,  1 ,  0 
 2 ,  468 ,  10.4910865427499 ,  6.912653 ,  5.69331 ,  1.219343 ,  59.47 ,  4.02 ,  1.91 ,  40.53 ,  0 ,  1 ,  1 ,  0 
 2 ,  456 ,  11.0838334535604 ,  6.228491 ,  5.069892 ,  1.158599 ,  59.58 ,  3.85 ,  1.82 ,  40.42 ,  0 ,  1 ,  1 ,  0 
 2 ,  444 ,  11.1083639836742 ,  5.639176 ,  4.57574 ,  1.063436 ,  58.9 ,  4.64 ,  1.83 ,  41.1 ,  0 ,  1 ,  1 ,  0 
 2 ,  432 ,  10.7008906725422 ,  5.05143 ,  4.135643 ,  0.915787 ,  59.02 ,  4.57 ,  1.82 ,  40.98 ,  0 ,  1 ,  1 ,  0 
 2 ,  420 ,  11.5500307722521 ,  4.475883 ,  3.601228 ,  0.874655 ,  59.1 ,  4.66 ,  1.8 ,  40.9 ,  0 ,  1 ,  1 ,  0 
 2 ,  408 ,  11.9483427825123 ,  3.906865 ,  3.122647 ,  0.784218 ,  59.52 ,  4.55 ,  1.73 ,  40.48 ,  0 ,  1 ,  1 ,  0 
 2 ,  396 ,  15.78458050381 ,  3.401957 ,  2.495099 ,  0.906858 ,  59.21 ,  5.22 ,  1.57 ,  40.79 ,  0 ,  1 ,  1 ,  0 
 2 ,  384 ,  16.7363548218537 ,  2.951002 ,  2.121681 ,  0.829321 ,  59.55 ,  5.13 ,  1.49 ,  40.45 ,  0 ,  1 ,  1 ,  0 
 2 ,  372 ,  16.8817865073191 ,  2.533581 ,  1.817305 ,  0.716276 ,  59.71 ,  4.91 ,  1.35 ,  40.29 ,  0 ,  1 ,  1 ,  0 
 2 ,  360 ,  19.360397329409 ,  2.167685 ,  1.463573 ,  0.704112 ,  59.6 ,  5.01 ,  1.27 ,  40.4 ,  0 ,  1 ,  1 ,  0 
