PERIOD, PIT,   BENCH,    TOTAL,    WASTE,      ORE,  ADVANCE,   GRADE1,   GRADE2,   GRADE3,   GRADE4,    FLAG1,    FLAG2,    FLAG3,    FLAG4
     1,   1, 576.000,   0.0789,   0.0761,   0.0029,   0.0000,  56.0000,   7.6700,   1.9700,  44.0000,   1.0000,   0.0000,   1.0000,   0.0000
     1,   1, 564.000,   0.0476,   0.0347,   0.0130,   0.0000,  59.4000,   5.5200,   1.9300,  40.6000,   1.0000,   0.0000,   1.0000,   0.0000
     1,   1, 552.000,   0.0458,   0.0088,   0.0370,   0.0000,  60.5000,   4.7100,   2.2200,  39.5000,   1.0000,   0.0000,   1.0000,   0.0000
     1,   1, 540.000,   0.0119,   0.0108,   0.0011,   0.0000,  59.8100,   4.7400,   1.6900,  40.1900,   1.0000,   0.0000,   1.0000,   0.0000
     1,   1, 528.000,   0.0745,   0.0744,   0.0002,   0.0000,  57.2300,   5.4700,   2.4800,  42.7700,   1.0000,   0.0000,   1.0000,   0.0000
     1,   2, 564.000,   0.6774,   0.5192,   0.1583,   1.0000,  57.4800,   6.9200,   2.0400,  42.5200,   0.0000,   1.0000,   1.0000,   0.0000
     1,   2, 552.000,   1.4465,   1.0189,   0.4276,   1.0000,  58.8100,   5.7900,   2.3000,  41.1900,   0.0000,   1.0000,   1.0000,   0.0000
     1,   2, 540.000,   2.6403,   1.7284,   0.9119,   1.0000,  58.6900,   5.6200,   2.2100,  41.3100,   0.0000,   1.0000,   1.0000,   0.0000
     1,   2, 528.000,   4.5655,   3.3808,   1.1847,   1.0000,  58.7900,   5.2500,   2.1800,  41.2100,   0.0000,   1.0000,   1.0000,   0.0000
     1,   2, 516.000,   7.9215,   6.6162,   1.3054,   1.0000,  59.2300,   4.8900,   2.0700,  40.7700,   0.0000,   1.0000,   1.0000,   0.0000
     1,   2, 504.000,   9.1271,   7.8066,   1.3204,   1.0000,  59.3500,   4.7300,   2.1800,  40.6500,   0.0000,   1.0000,   1.0000,   0.0000
     1,   2, 492.000,   8.3635,   7.0047,   1.3588,   1.0000,  59.2200,   4.5700,   2.0400,  40.7800,   0.0000,   1.0000,   1.0000,   0.0000
     1,   2, 480.000,   4.3306,   3.5714,   0.7591,   0.5682,  59.3600,   4.2500,   1.9700,  40.6400,   0.0000,   1.0000,   1.0000,   0.0000
     1,   7, 540.000,   0.0342,   0.0342,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   0.0000,   1.0000
     1,   7, 528.000,   0.1601,   0.1601,   0.0000,   1.0000,   0.0000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   0.0000,   1.0000
     1,   7, 516.000,   0.0114,   0.0114,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   0.0000,   1.0000
     1,   7, 504.000,   0.0010,   0.0010,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   0.0000,   1.0000
     1,   8, 540.000,   0.0520,   0.0334,   0.0186,   0.0833,  64.1500,   2.8700,   2.5300,  35.8500,   0.0000,   1.0000,   0.0000,   1.0000
     1,   9, 552.000,   0.0732,   0.0732,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   0.0000,   1.0000
     1,   9, 540.000,   0.1179,   0.1179,   0.0000,   1.0000,   0.0000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   0.0000,   1.0000
     1,   9, 528.000,   0.0285,   0.0285,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   0.0000,   1.0000
     1,   9, 516.000,   0.0010,   0.0010,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   0.0000,   1.0000
     1,  13, 576.000,   0.0027,   0.0027,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   0.0000,   1.0000
     1,  13, 564.000,   0.0683,   0.0683,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   0.0000,   1.0000
     1,  13, 552.000,   0.0192,   0.0192,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   0.0000,   1.0000
     1,  13, 540.000,   0.0065,   0.0065,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   0.0000,   1.0000
     1,  14, 576.000,   0.0002,   0.0002,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   1.0000
     1,  14, 564.000,   0.1905,   0.1901,   0.0005,   1.0000,  59.0700,   5.9500,   2.1300,  40.9300,   0.0000,   1.0000,   0.0000,   1.0000
     1,  15, 576.000,   0.0886,   0.0886,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   0.0000,   1.0000
     1,  15, 564.000,   0.0184,   0.0184,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   0.0000,   1.0000
     1,  15, 552.000,   0.0033,   0.0033,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   0.0000,   1.0000
     1,  16, 576.000,   0.0463,   0.0461,   0.0002,   0.0000,  57.3700,   7.4400,   2.3800,  42.6300,   0.0000,   1.0000,   0.0000,   1.0000
     1,  17, 564.000,   0.0012,   0.0012,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   0.0000,   1.0000
     1,  17, 552.000,   0.0860,   0.0860,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   0.0000,   1.0000
     1,  17, 540.000,   0.0064,   0.0064,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   0.0000,   1.0000
     1,  17, 528.000,   0.0005,   0.0005,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   0.0000,   1.0000
     1,  19, 564.000,   0.0001,   0.0001,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   0.0000,   1.0000
     1,  19, 552.000,   0.0347,   0.0347,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   0.0000,   1.0000
     1,  19, 540.000,   0.0207,   0.0207,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   0.0000,   1.0000
     1,  19, 528.000,   0.0080,   0.0080,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   0.0000,   1.0000
     1,  20, 552.000,   0.0404,   0.0399,   0.0006,   0.0000,  57.6800,   7.8500,   2.7500,  42.3200,   0.0000,   1.0000,   0.0000,   1.0000
     2,   2, 480.000,   3.2912,   2.7143,   0.5769,   0.4318,  59.3600,   4.2500,   1.9700,  40.6400,   0.0000,   1.0000,   1.0000,   0.0000
     2,   2, 468.000,   6.9127,   5.6933,   1.2193,   1.0000,  59.4700,   4.0200,   1.9100,  40.5300,   0.0000,   1.0000,   1.0000,   0.0000
     2,   2, 456.000,   6.2285,   5.0699,   1.1586,   1.0000,  59.5800,   3.8500,   1.8200,  40.4200,   0.0000,   1.0000,   1.0000,   0.0000
     2,   2, 444.000,   5.6392,   4.5757,   1.0634,   1.0000,  58.9000,   4.6400,   1.8300,  41.1000,   0.0000,   1.0000,   1.0000,   0.0000
     2,   2, 432.000,   5.0514,   4.1356,   0.9158,   1.0000,  59.0200,   4.5700,   1.8200,  40.9800,   0.0000,   1.0000,   1.0000,   0.0000
     2,   2, 420.000,   4.4759,   3.6012,   0.8747,   1.0000,  59.1000,   4.6600,   1.8000,  40.9000,   0.0000,   1.0000,   1.0000,   0.0000
     2,   2, 408.000,   3.9069,   3.1226,   0.7842,   1.0000,  59.5200,   4.5500,   1.7300,  40.4800,   0.0000,   1.0000,   1.0000,   0.0000
     2,   2, 396.000,   1.8144,   1.3307,   0.4837,   0.5333,  59.2100,   5.2200,   1.5700,  40.7900,   0.0000,   1.0000,   1.0000,   0.0000
     2,   8, 540.000,   0.5719,   0.3675,   0.2044,   0.9167,  64.1500,   2.8700,   2.5300,  35.8500,   0.0000,   1.0000,   0.0000,   1.0000
     2,   8, 528.000,   2.7080,   2.1422,   0.5658,   1.0000,  64.4900,   2.8000,   2.4900,  35.5100,   0.0000,   1.0000,   0.0000,   1.0000
     2,   8, 516.000,   5.7467,   5.2624,   0.4843,   0.7600,  64.4000,   2.8300,   2.4800,  35.6000,   0.0000,   1.0000,   0.0000,   1.0000
     2,  10, 552.000,   0.0738,   0.0474,   0.0264,   0.0000,  60.8500,   2.9100,   2.4000,  39.1500,   0.0000,   1.0000,   0.0000,   1.0000
     2,  10, 540.000,   1.2977,   1.0110,   0.2866,   1.0000,  61.1500,   3.0700,   2.6100,  38.8500,   0.0000,   1.0000,   0.0000,   1.0000
     2,  10, 528.000,   5.4120,   4.8040,   0.6080,   1.0000,  61.2000,   3.3000,   2.5700,  38.8000,   0.0000,   1.0000,   0.0000,   1.0000
     2,  10, 516.000,  11.8795,  11.0808,   0.7987,   1.0000,  60.9600,   3.4300,   2.4800,  39.0400,   0.0000,   1.0000,   0.0000,   1.0000
     2,  10, 504.000,  12.2002,  11.3151,   0.8851,   1.0000,  61.0700,   3.3400,   2.3900,  38.9300,   0.0000,   1.0000,   0.0000,   1.0000
     2,  10, 492.000,  10.8614,   9.9328,   0.9286,   1.0000,  61.1200,   3.3100,   2.3100,  38.8800,   0.0000,   1.0000,   0.0000,   1.0000
     2,  10, 480.000,   9.7151,   8.7443,   0.9708,   1.0000,  61.1700,   3.3100,   2.3300,  38.8300,   0.0000,   1.0000,   0.0000,   1.0000
     2,  10, 468.000,   8.6051,   7.5881,   1.0170,   1.0000,  61.1800,   3.3100,   2.3100,  38.8200,   0.0000,   1.0000,   0.0000,   1.0000
     2,  14, 552.000,   0.8212,   0.7734,   0.0478,   1.0000,  58.8000,   6.3300,   2.0800,  41.2000,   0.0000,   1.0000,   0.0000,   1.0000
     2,  14, 540.000,   1.6197,   1.4993,   0.1203,   1.0000,  58.9300,   5.6800,   2.3000,  41.0700,   0.0000,   1.0000,   0.0000,   1.0000
     2,  14, 528.000,   3.2995,   3.0465,   0.2530,   1.0000,  58.8600,   5.7400,   2.2000,  41.1400,   0.0000,   1.0000,   0.0000,   1.0000
     2,  14, 516.000,   4.9165,   4.6153,   0.3012,   1.0000,  59.1000,   5.6700,   2.0400,  40.9000,   0.0000,   1.0000,   0.0000,   1.0000
     2,  14, 504.000,   4.8097,   4.5505,   0.2593,   1.0000,  58.9600,   5.9300,   1.9800,  41.0400,   0.0000,   1.0000,   0.0000,   1.0000
     2,  14, 492.000,   3.0994,   2.9345,   0.1649,   0.7647,  58.6600,   6.0600,   2.0000,  41.3400,   0.0000,   1.0000,   0.0000,   1.0000
     2,  20, 552.000,   0.0162,   0.0160,   0.0002,   0.0000,  57.6800,   7.8500,   2.7500,  42.3200,   0.0000,   1.0000,   0.0000,   1.0000
     3,   3, 528.000,   0.8816,   0.8790,   0.0026,   1.0000,  55.3800,   7.0600,   2.9700,  44.6200,   1.0000,   0.0000,   1.0000,   0.0000
     3,   3, 516.000,   0.0041,   0.0041,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   1.0000,   0.0000
     3,   4, 528.000,   0.7383,   0.7229,   0.0155,   1.0000,  55.4100,   7.0900,   2.9300,  44.5900,   0.0000,   1.0000,   1.0000,   0.0000
     3,   4, 516.000,   4.5803,   4.4144,   0.1659,   1.0000,  55.5500,   6.7900,   2.8700,  44.4500,   0.0000,   1.0000,   1.0000,   0.0000
     3,   4, 504.000,   7.2703,   6.8499,   0.4204,   1.0000,  55.7900,   6.8000,   2.8700,  44.2100,   0.0000,   1.0000,   1.0000,   0.0000
     3,   4, 492.000,   6.6896,   5.8572,   0.8324,   1.0000,  57.1400,   5.3500,   2.6700,  42.8600,   0.0000,   1.0000,   1.0000,   0.0000
     3,   4, 480.000,   5.9020,   4.8680,   1.0340,   1.0000,  57.8700,   4.6800,   2.5300,  42.1300,   0.0000,   1.0000,   1.0000,   0.0000
     3,   4, 468.000,   5.1881,   4.0567,   1.1314,   1.0000,  58.0600,   4.7700,   2.4100,  41.9400,   0.0000,   1.0000,   1.0000,   0.0000
     3,   4, 456.000,   4.5370,   3.4200,   1.1170,   1.0000,  58.1100,   4.9500,   2.2900,  41.8900,   0.0000,   1.0000,   1.0000,   0.0000
     3,   8, 516.000,   1.8148,   1.6618,   0.1529,   0.2400,  64.4000,   2.8300,   2.4800,  35.6000,   0.0000,   1.0000,   0.0000,   1.0000
